period,year,quarter,county,chargers,zev_sales
2022-Q4,2022,4,Napa,396,398
2022-Q4,2022,4,Nevada,169,139
2022-Q4,2022,4,Orange,5383,11321
2022-Q4,2022,4,Placer,455,1039
2022-Q4,2022,4,Plumas,7,6
2022-Q4,2022,4,Riverside,1635,3816
2022-Q4,2022,4,Sacramento,2040,2849
2022-Q4,2022,4,San Benito,45,105
2022-Q4,2022,4,San Bernardino,1682,3250
2022-Q4,2022,4,San Diego,7735,7788
2022-Q4,2022,4,San Francisco,1952,2134
2022-Q4,2022,4,San Joaquin,632,1260
2022-Q4,2022,4,San Luis Obispo,650,475
2022-Q4,2022,4,San Mateo,4557,3719
2022-Q4,2022,4,Santa Barbara,512,670
2022-Q4,2022,4,Santa Clara,17621,8119
2022-Q4,2022,4,Santa Cruz,359,475
2022-Q4,2022,4,Shasta,153,111
2022-Q4,2022,4,Sierra,1,0
2022-Q4,2022,4,Siskiyou,67,20
2022-Q4,2022,4,Solano,482,648
2022-Q4,2022,4,Sonoma,816,954
2022-Q4,2022,4,Stanislaus,188,397
2022-Q4,2022,4,Sutter,22,84
2022-Q4,2022,4,Tehama,87,27
2022-Q4,2022,4,Trinity,14,2
2022-Q4,2022,4,Tulare,231,198
2022-Q4,2022,4,Tuolumne,58,34
2022-Q4,2022,4,Ventura,858,1842
