period,year,quarter,county,fuel_type,sales
2012-Q3,2012,3,Alameda,Electric,49
2012-Q3,2012,3,Alameda,PHEV,254
2012-Q3,2012,3,Butte,Electric,2
2012-Q3,2012,3,Butte,PHEV,6
2012-Q3,2012,3,Calaveras,Electric,1
2012-Q3,2012,3,Contra Costa,Electric,32
2012-Q3,2012,3,Contra Costa,PHEV,142
2012-Q3,2012,3,El Dorado,Electric,4
2012-Q3,2012,3,El Dorado,PHEV,8
2012-Q3,2012,3,Fresno,Electric,3
2012-Q3,2012,3,Fresno,PHEV,11
2012-Q3,2012,3,Humboldt,Electric,3
2012-Q3,2012,3,Humboldt,PHEV,1
2012-Q3,2012,3,Inyo,PHEV,1
2012-Q3,2012,3,Kern,Electric,1
2012-Q3,2012,3,Kern,PHEV,11
2012-Q3,2012,3,Los Angeles,Electric,111
2012-Q3,2012,3,Los Angeles,PHEV,1037
2012-Q3,2012,3,Madera,Electric,2
2012-Q3,2012,3,Marin,Electric,11
2012-Q3,2012,3,Marin,PHEV,67
2012-Q3,2012,3,Mendocino,Electric,1
2012-Q3,2012,3,Mendocino,PHEV,2
2012-Q3,2012,3,Merced,PHEV,3
2012-Q3,2012,3,Monterey,Electric,3
2012-Q3,2012,3,Monterey,PHEV,12
2012-Q3,2012,3,Napa,Electric,1
2012-Q3,2012,3,Napa,PHEV,15
2012-Q3,2012,3,Nevada,Electric,2
2012-Q3,2012,3,Nevada,PHEV,5
2012-Q3,2012,3,Orange,Electric,60
2012-Q3,2012,3,Orange,PHEV,550
2012-Q3,2012,3,Out Of State,Electric,17
2012-Q3,2012,3,Out Of State,PHEV,18
2012-Q3,2012,3,Placer,Electric,5
2012-Q3,2012,3,Placer,PHEV,24
